year        month       qtd
----------- ----------- -----------
2008        5           1
2009        1           5
2009        3           46
2009        4           179
2009        5           384
2009        6           331
2009        7           329
2009        8           462
2009        9           521
2009        10          394
2009        11          377
2009        12          467
2010        1           558
2010        2           505
2010        3           357
2010        4           323
2010        5           364
2010        6           312
2010        7           164
2010        8           340
2010        9           302
2010        10          285
2010        11          258
2010        12          245
2011        1           2
2011        3           14
2011        4           16
2011        5           4
2011        6           5
2011        8           7
2011        9           3
2011        10          1
2012        1           13
2012        2           4
2012        3           2
2012        4           6
2012        7           5
2012        8           6
2012        9           116
2012        10          54
2012        11          25
2012        12          19
2014        8           1
2014        12          1
